Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
45,,239.0,264.0,28.0,Pittsburgh Penguins,9.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2008.0
53,,204.0,257.0,18.0,San Jose Sharks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.646,2008.0
41,,233.0,233.0,31.0,St. Louis Blues,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.5,2008.0
42,,238.0,245.0,33.0,Anaheim Ducks,7.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.512,2008.0
35,,280.0,257.0,41.0,Atlanta Thrashers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.427,2008.0
53,,196.0,274.0,19.0,Boston Bruins,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.646,2008.0
41,,234.0,250.0,32.0,Buffalo Sabres,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
46,,248.0,254.0,30.0,Calgary Flames,6.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.561,2008.0
24,,279.0,210.0,40.0,Tampa Bay Lightning,18.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.293,2008.0
34,,293.0,250.0,35.0,Toronto Maple Leafs,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.415,2008.0
45,,220.0,246.0,27.0,Vancouver Canucks,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2008.0
50,,245.0,272.0,24.0,Washington Capitals,8.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.61,2008.0
45,,226.0,239.0,30.0,Carolina Hurricanes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.549,2008.0
41,,230.0,226.0,31.0,Columbus Blue Jackets,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
46,,216.0,264.0,24.0,Chicago Blackhawks,12.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.561,2008.0
32,,257.0,199.0,45.0,Colorado Avalanche,5.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.39,2008.0
36,,257.0,230.0,35.0,Dallas Stars,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.439,2008.0
39,,251.0,238.0,32.0,Anaheim Ducks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.476,2009.0
35,,256.0,234.0,34.0,Atlanta Thrashers,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.427,2009.0
39,,200.0,206.0,30.0,Boston Bruins,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.476,2009.0
45,,207.0,235.0,27.0,Buffalo Sabres,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2009.0
40,,210.0,204.0,32.0,Calgary Flames,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.488,2009.0
35,,256.0,230.0,37.0,Carolina Hurricanes,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.427,2009.0
51,,244.0,295.0,21.0,Detroit Red Wings,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.622,2008.0
